title|isbn|total_pages|amount|publishing_year|publisher_id|price|annotation|cover_path|library_location
Ашик-Кериб|978-5-4472-4320-3|15|7|2015|6|1894|«Ашик-Кериб» - сказка русского поэта, прозаика, драматурга, художника Михаила Юрьевича Лермонтова (1814-1841). Написана в 1837 году. Впервые опубликована в 1846 году в литературном альманахе В.А. Соллогуба «Вчера и сегодня».\nСтранствуя по Кавказу и Закавказью, Лермонтов проявлял особый интерес к народному творчеству. После смерти поэта среди его бумаг была обнаружена прозаическая сказка «Ашик-Кериб» - авторская интерпретация широко распространенного фольклорного лирического дастана-эпоса «Муж на свадьбе у своей жены», существующего в разных версиях у разных народов Закавказья, Средней Азии и Дальнего Востока. В версии Лермонтова - бедный музыкант-сказитель Ашик-Кериб из Тифлиза любит дочь богатого турка Магуль-Мегери. Не решаясь жениться, он обещает семь лет странствовать по свету и нажить богатство. Девушка на это соглашается, но говорит, что если в назначенный день Ашик-Кериб не вернется, то она выйдет замуж за Куршуд-бека, который давно к ней сватается. Ашик-Кериб отправляется в странствие, становится придворным музыкантом паши в Халафе и богатеет. Домой он возвращается в день свадьбы своей возлюбленной.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в четвёртом шкафу
Муму|978-5-4472-3767-7|40|12|2014|6|1299|«Муму» - рассказ русского писателя, поэта, публициста, драматурга, переводчика Ивана Сергеевича Тургенева (1818-1883). Написан в 1852 году. Впервые опубликован в 1854 году в журнале «Современник».\nГлавный герой рассказа - глухонемой от рождения дворник Герасим, которого старая барыня привезла в город и определила дворником. Это нелюдимый, но трудолюбивый, ответственный и чуткий человек с добрым сердцем. Понравившуюся герою девушку барыня выдает замуж за другого дворового человека и отправляет жить в деревню. Единственным близким Герасиму существом становится бездомный щенок, которого он спасает и оставляет жить у себя в каморке. Щенок Муму не признает никого, кроме хозяина. И тем вызывает гнев барыни, которая требует немедленно убрать собачку. Крепостной Герасим не может ослушаться и оказывается в драматической ситуации, когда он вынужден убить дорогое ему существо.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в первом шкафу
Метель|978-5-4472-4417-0|35|10|2015|6|1872|«Метель» - повесть великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Вторая повесть цикла «Повести покойного Ивана Петровича Белкина». Написана в 1830 году в Болдине. Впервые опубликована в 1831 году в книге «Повести покойного Ивана Петровича Белкина, изданные А.П.».\nРазвивая мотив судьбы и предопределения в жизни человека, Пушкин в повести «Метель» создает образы заурядных людей и показывает, как причудливо может сложиться жизнь, если вмешается необъяснимый рок. Герои повести - сентиментальная барышня Маша и бедный прапорщик Владимир - влюблены друг в друга. Родители девушки препятствуют браку, и молодые люди решают бежать и тайно венчаться. Все спланировано и рассчитано: верные слуги готовы помочь, друзья жениха соглашаются стать свидетелями, батюшка готов венчать. Но судьба рассудила по-своему. Поднялась метель, закружила в поле жениха, и он опоздал на собственную свадьбу. И эта же метель привела к деревенской церкви проезжего офицера Бурмина, который скуки ради и оказался под венцом с незнакомой барышней.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Ванька|978-5-4472-3778-3|9|17|2014|6|1627|«Ванька» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1886 году в «Петербургской газете».\nГлавный герой рассказа - девятилетний мальчик Ванька Жуков, который уже три месяца находится в обучении у сапожника в городе. Он - сирота, а единственным родным ему человеком является дедушка, который остался в деревне. Действие рассказа происходит в ночь перед Рождеством: мальчик дождался, когда все лягут спать, взял из хозяйского шкафа пузырек с чернилами, перо и стал писать письмо дедушке. Он рассказывает о своем горьком житие у сапожника, жалуется на хозяев, на их издевательство над ним. Ванька просит забрать его обратно в деревню. В развязке рассказа мальчик дописал письмо, положил в конверт и написал адрес: «На деревню дедушке» Константину Макарычу.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в третьем шкафу
Бежин луг|978-1-4881-9766-6|30|8|2022|2|1700|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,во втором шкафу
Что значит досуг|978-0-9656314-6-4|7|14|2022|16|1577|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
Кактус|978-5-4472-4445-3|26|15|2015|6|1797|«Кактус» - прозаический рассказ русского поэта-лирика, переводчика и мемуариста Афанасия Афанасьевича Фета (1820-1892). Написан и впервые опубликован в 1881 году в журнале «Русский вестник».\nРассказ «Кактус» посвящен автобиографическому эпизоду из жизни Фета, относящемуся к 1856 году. Лирический герой, от лица которого в рассказе ведется повествование, в молодости служил в гвардии и «проживал в отпуску в Москве». Там он встретил своего давнего товарища и однокашника Аполлона Григорьева, который в один из дней познакомил его с уникальным певческим талантом «цыганочки Стеши» из хора Ивана Васильева.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в третьем шкафу
Недоросль|978-5-4472-3773-8|78|20|2014|6|1421|«Недоросль» - пьеса в пяти действиях русского драматурга, поэта, создателя русской бытовой комедии, публициста, переводчика, просветителя Дениса Ивановича Фонвизина (1745-1792). Написана в 1779-1781 годы. Первая постановка осуществлена в 1782 году в театре на Царицыном лугу силами актеров Вольного Российского Театра; первая публикация - в 1783 году.\nПосле комедии «Бригадир» (1769), имевшей шумный успех в Петербурге, Фонвизин более десяти лет не обращался к драматургии. Замысел новой «комедии нравов» сложился у него после возвращения в конце 1778 года из Франции. Как и все прочие пьесы эпохи классицизма, «Недоросль» прямолинеен по своей проблематике - это высмеивание русского провинциального помещичьего быта и порицание традиционного российского дворянского воспитания. Персонажи четко делятся на положительных и отрицательных, имеют соответствующие фамилии-характеристики: Простаков, Правдин, Стародум, Скотинин и т.д. Действие строится на мотиве сватовства и возникающей борьбе претендентов-женихов за невесту - племянницу Стародума, образованную и добрую девушку Софью.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
Как закалялась сталь|978-5-4472-3712-7|692|8|2014|6|1465|«Как закалялась сталь» - автобиографический роман в двух частях советского писателя Николая Алексеевича Островского (1904-1936). Создавался в 1930-1934 годы. В 1934 году роман начал публиковаться в журнале «Молодая гвардия»; в ноябре того же года первая и вторая части романа вышли отдельными книгами.\n«Как закалялась сталь» с удивительной точностью передает дух своей эпохи и суть исторического момента развития в испытаниях революции, гражданской войны и развернувшегося социалистического строительства. Герой романа - Павел Корчагин - один из ярчайших представителей своего поколения. Он составляет одно целое с самой эпохой - герой и эпоха создают друг друга. Один из важнейших мотивов повествования - борьба со смертью. Корчагин мог погибнуть неоднократно, но его воля к жизни побеждает: человеческий дух бросает вызов самой смерти, так как вера в беспредельность человеческих возможностей заложена в основе самой идеи коммунизма, верность которой сохраняет герой.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
Барышня-крестьянка|978-5-4472-4397-5|55|9|2015|6|1708|«Барышня-крестьянка» - повесть великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Заключительная пятая повесть цикла «Повести покойного Ивана Петровича Белкина». Написана в 1830 году в Болдине. Впервые опубликована в 1831 году в книге «Повести покойного Ивана Петровича Белкина, изданные А.П.».\nГероиня повести Лиза - единственное и балованное дитя помещика Муромского; в доме ей все позволено, отец не чает в ней души, и поминутные проказы дочери лишь восхищают его. Деревенская жизнь, чтение европейских романов, дружба с дворовыми крестьянами развивают в ней живость и естественность характера, простоту и искренность поведения, веселость и озорство, мечтательность, жажду любви и счастья. Поэтому роли, в которых она себя пробует - уездная барышня, жеманница-англоманка и крестьянка Акулина - даются ей легко и свободно. Повесть «Барышня-крестьянка» получила наименее благоприятную критику из пяти «повестей Белкина»: Белинский видел в повести вещь «особенно жалкую», «неправдоподобную, водевильную»; другие критики недостатком считали чрезмерную маскарадность и карнавальность сюжета.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в первом шкафу
Толстый и тонкий|978-5-4472-3793-6|7|15|2014|6|701|«Толстый и тонкий» - сатирический рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые напечатан в 1883 году в журнале «Осколки».\nНа вокзале случайно встретились два давних приятеля: один толстый, другой тонкий. Тонкий - Порфирий - только что сошел с поезда со своим семейством и багажом. Толстый - Михаил, только что отобедавший, увидел и радостно поприветствовал его. Оба были приятно ошеломлены. Друзья детства разговорились. Выяснилось, что Тонкий дослужился до коллежского асессора. Толстый же оказался в чине тайного советника. Узнав о том, Тонкий изменился в лице и тут же перешел с приятельского на угодливо-подобострастный тон. Толстый хотел было возразить что-то, но от благоговейной елейности Тонкого его стошнило. Он отвернулся и подал на прощанье руку. Тонкий и его семейство были приятно ошеломлены.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Шинель|978-5-4472-3634-2|48|10|2014|6|1792|«Шинель» - повесть русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852). Увидела свет в 3-ем томе собрания сочинений Гоголя, отпечатанного на исходе 1842 году и поступившего в продажу в январе 1843 года. Вошла в историю русской литературы как «манифест социального равенства и неотъемлемых прав личности в любом её состоянии и звании».\nВ нарочито косноязычной сказовой манере, перебиваемой патетическими монологами, автор повествует о нелепой жизни и смерти так называемого «маленького человека», по своему сопротивляющегося обстоятельствам и бунтующего против социальной иерархии. Неожиданное соединение элементов критического реализма и мистического гротеска в этой повести неоднократно ставило в тупик литературоведов и критиков.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в первом шкафу
Мертвые души|978-5-4472-3628-1|537|19|2014|6|1519|«Мертвые души» - произведение русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852), которое сам автор обозначил как «поэма». Изначально задумано как трёхтомное произведение. Первый том под названием «Похождения Чичикова, или Мёртвые души» был издан в 1842 году. Практически готовый второй том уничтожен писателем в 1845 году, но сохранилось несколько глав в черновиках, которые были изданы в составе Полного собрания сочинений Гоголя в 1855 году. Третий том был задуман и не начат, о нём остались только обрывочные сведения.\nК этому своему произведению Гоголь относился как к «священному завещанию поэта» и литературному подвигу, имеющему одновременно значение патриотического, «долженствующего открыть судьбы России и мира». Писатель живописует Россию как страну, глубоко пораженную пороками и коррупцией, но именно эта нищета и греховность составляют метафизическую подоплеку ее возрождения.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в четвёртом шкафу
В клетке зверя|978-1-4217-1280-2|9|18|2022|15|1962|"Это произведение - общепризнанный шедевр мировой художественной литературы, и сегодня не утративший свою содержательную ценность. Оно включено в список ""Тысяча лучших произведений мировой художественной литературы в русских переводах, рекомендованных для комплектования школьной библиотеки"", подготовленный НИО библиографии Российской государственной библиотеки, Российской государственной детской библиотеки и Российской государственной юношеской библиотеки и перечень, рекомендованный Министерством образования и науки Российской Федерации.\nВ состав экспертной рабочей группы по составлению перечня вошли представители Российской академии наук, Российской академии образования, Минкультуры России, Минрегиона России, представители СМИ, общественных и религиозных организаций, учителя и многие другие.\n"|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
