title|writing_year|description|ebook_path
Стихи о Прекрасной Даме|1920|«Стихи о Прекрасной Даме» - второй стихотворный цикл Александра Блока. Он написан под влиянием сильного чувства, которое молодой поэт испытывал к своей будущей супруге - Любови Менделеевой, а также под влиянием учения философа Владимира Соловьева о Вечной Женственности. Это нетленное божественное начало, которое символизирует Прекрасная Дама, способно примирить земное и небесное, мирское и божественное, принести обновление душе поэта. Героиня цикла - непостижимый, мистический образ - «Дева», «Святая», «Непостижимая», а иногда реальная женщина, стройная, высокая, надменная и суровая. Любовь к ней лирического героя трансформируется в поэзию символов, полутонов и намеков.\n|../TableData/BooksEpub/Стихи_о_Прекрасной_Даме_1.epub
Пир во время чумы|1836|Эта маленькая пьеса, состоящая из одной сцены, представляет собой перевод фрагмента из трехактной пьесы «Чумной город» английского поэта Джона Вильсона (1785-1854), посвященной лондонской чуме 1665 года. «Пир во время чумы» - это единственный в своем роде образец переводческого искусства Пушкина. Русский поэт сумел создать самостоятельное произведение, обладающее художественным единством, законченностью и высоким художественным достоинством, благодаря чему «Пир во время чумы» живет отдельно от английской пьесы-прототипа.Пьеса написана в ноябре 1830 года. Впервые опубликована в 1832 году в альманахе «Альциона».\n|../TableData/BooksEpub/Пир_во_время_чумы_1.epub
Отрочество|1909|Повесть продолжает сюжетную линию первой части трилогии Льва Толстого - «Детство». Период отрочества начинается у Николеньки Иртеньева после смерти матери и с переездом в Москву. Меняется его восприятие окружающего мира - приходит понимание того, что мир не вращается вокруг него одного, что вокруг много людей, которым до него нет дела. Среди доминирующих черт мальчика - застенчивость, доставляющая герою множество страданий, и желание быть любимым. Николенька погружен в критический самоанализ, но его живо интересует жизнь других людей - так он узнает о сословном неравенстве. Взрослея, он задумывается о смысле жизни, о своем собственном предназначении. Для автора очень важен процесс постепенного размыкания индивидуалистической замкнутости ребенка как с нравственной, так и с психологической стороны.\nПовесть написана в 1852-1854 годах. Впервые напечатана в 1854 году в журнале «Современник».\n|../TableData/BooksEpub/Отрочество_1.epub
Конек-горбунок||«Конек-горбунок» - сказка в стихах Петра Павловича Ершова (1815-1869). Впервые отрывок из сказки был опубликован в 1834 году в журнале «Библиотека для чтения»; в том же году сказка вышла отдельным изданием, но с поправками по требованию цензуры. В 1843 году «Конек-горбунок» был полностью запрещен цензурой и 13 лет не переиздавался. В 1856 и 1861 году Ершов подготовил новые издания сказки, восстановив цензурные купюры и существенно переработав текст. К концу XIX века «Конек-горбунок» уже стал классикой детского чтения, постоянно переиздавался и иллюстрировался.\nНаписана сказочная поэма четырехстопным хореем с парной рифмовкой. Легкость стиха, множество метких выражений, элементы едкой социальной сатиры определили ее популярность и среди взрослых.\n|../TableData/BooksEpub/Конекгорбунок_1.epub
Продолжение следует|1917|Героиня рассказа «Продолжение следует» - юная девушка Дзета больна болезнью, «которая не поддается определению» и с каждым днем тает на глазах у родителей. Чтобы как-то развлечь девушку ее старик-отец выписал маленький журнал с картинками и романтическим содержанием. Один из романов увлек Дзету историей нежной любви героев. Девушка все сердцем ждет продолжения повествования, которого все нет.Рассказ написан и впервые опубликован в 1917 году в «Синем журнале».\n|../TableData/BooksEpub/Продолжение_следует_1.epub
Пиковая дама|1833|Сюжет повести в манере Гофмана и Нодье был подсказан Пушкину молодым князем Голицыным, который, проигравшись, поставил по совету бабки - известной в московском обществе «усатой княгини» Голицыной, матери московского губернатора Дмитрия Голицына, - на три карты, некогда подсказанные ей графом Сен-Жерменом, и вернул себе проигранное состояние. «Пиковая дама» открывает традицию произведений русских классиков на тему «преступления и наказания»: беспринципный молодой человек Германн соблазняет невинную девушку Лизу, проникает в опочивальню воспитывающей ее старухи-графини и под дулом пистолета пытается добиться от нее комбинации трех заветных карт. Однако вместо чаемого успеха по роковому стечению событий Германн теряет не только благополучие, но и здравый ум.\nПредположительно, повесть написана осенью 1833 года в Болдино; рукописный текст не сохранился. Опубликована во 2-м номере альманаха «Библиотека для чтения» за 1834 год.\n|../TableData/BooksEpub/Пиковая_дама_1.epub
Бедная Лиза|1792|Сюжет «Бедной Лизы» заимствован Карамзиным из европейской любовной литературы, но перенесен на русскую почву и интерпретирован с большой достоверностью. Однако, несмотря на кажущееся правдоподобие, мир, изображенный в повести, идилличен: жизнь бедных поселян напоминает пастораль, а крестьянка Лиза и ее мать обладают утонченностью чувств и восприятия, их речь грамотна и ничем не отличается от речи дворянина Эраста. Повесть стала образцом русской сентиментальной литературы: в противовес классицизму автор утверждал культ чувств, чувствительности и сострадания.\nПовесть написана и опубликована в 1792 году в «Московском журнале», редактором которого был сам Карамзин. В 1796 году «Бедная Лиза» вышла отдельной книгой.\n|../TableData/BooksEpub/Бедная_Лиза_1.epub
Князь Серебряный|1861|В основе сюжета романа - коренной перелом в русской истории: возвышение централизованной власти московского князя и борьба его с боярской оппозицией. Несмотря на все изъяны, шероховатости и исторические неточности, произведение замечательно передает дух эпохи Ивана Грозного, раскрывая характер русского царя и других исторических лиц, нравы и обычаи двора XVI века. Многие детали и подробности сюжета романа заимствованы автором из «Истории государства Российского» Н.М. Карамзина.\nЦарь Иоанн в представлении Алексея Толстого - символ злого начала в русской истории, истребитель боярских родов, гонитель древних традиций, нарушитель патриархального мира и согласия, основоположник чуждого русскому народному духу бюрократического государства. Причем деспотизм в представлении писателя является не столько социально-исторической, сколько чисто нравственной категорией. Но есть в романе сила, способная противостоять деспотизму и произволу царя, - это главный герой произведения, воевода, князь Никита Романович Серебряный.\nРоман был начат в конце 40-х годов и завершен в 1861 году. Первая публикация состоялась в 1863 году.\n|../TableData/BooksEpub/Князь_Серебряный_1.epub
Нос|1833|«Нос» - сатирическая абсурдистская повесть Николая Гоголя. Нос в повести символизирует бессодержательную внешнюю благопристойность, имидж, который, как оказывается, вполне может существовать без всякой внутренней личности. И более того, оказывается, что у обычного коллежского асессора этот имидж на целых три чина выше самой личности.\nМолодой Гоголь мастерски создает образ своего современника - пустого и напыщенного, любящего внешнюю эффектность, гоняющегося за высоким статусом и милостью вышестоящих чинов. Повесть написана в 1832-1833 годах. Впервые опубликована в 1836 году в журнале Александра Пушкина «Современник». Она часто подвергалась критике. Ряд деталей и сцен произведения неоднократно изменялись автором.\n|../TableData/BooksEpub/Нос_1.epub
Маскарад|1840|«Маскарад», повествующий о жизни петербургского света 30-х годов XIX века, - социальная, но не любовная трагедия, а трагедия сильных людей, обреченных на бездействие или на деятельность пошлую и ничтожную. Единственная пьеса, написанная Михаилом Лермонтовым именно для сцены, так и не была поставлена при жизни автора. Первая сценическая постановка отдельных сцен драмы состоялась в 1852 году в бенефис актрисы Марии Валберховой в Александринском театре. Запрет на полную постановку «Маскарада» в театре был снят цензурой в лишь 1862 году.\nПьеса написана в 1835 году, изначально содержала три акта и заканчивалась смертью Нины Арбениной. Уцелела и дошла до нас только вторая редакция пьесы с введенной фигурой Неизвестного, в образе которого судьба карает главного героя Евгения Арбенина.\n|../TableData/BooksEpub/Маскарад_1.epub
Стихотворения||Дмитрием Веневитиновым было написано всего около 50 стихотворений. Многие из них, особенно поздние, наполнены глубоким философским смыслом, что составляет отличительную черту лирики поэта. Центральная тема последних стихотворений Веневитинова - судьба поэта. В них заметен культ романтического поэта-избранника, высоко вознесенного над толпой и обыденностью. В числе наиболее значимых стихотворений поэта: «Поэт», «Освобождение скальда», «Новгород», «Завещание», «К моему перстню», «Утешение», «Жертвоприношение», «Поэт и друг». Впервые стихотворения Веневитинова были напечатаны незадолго до смерти в 1827 году, в альманахе А. Дельвига «Северные цветы» и в журнале М. Погодина «Московский вестник»\n|../TableData/BooksEpub/Стихотворения_1.epub
Белый шар|1924|Герои этой миниатюры - Сантус и Кадудар - ведут жесткий разговор о подошедшем сроке платежа по векселю. За окном бушует гроза, гремит гром и в комнату входит «небольшой светящийся шар, скатанный как бы из прозрачного снега, в едва уловимом дыме электрической эманации» - шаровая молния.Рассказ написан и впервые опубликован в 1924 году в журнале «Товарищ Терентий».\n|../TableData/BooksEpub/Белый_шар_1.epub
Случай|1907|Истекший год оставил у крестьянина Бальсена - героя рассказа «Случай» - тяжелые воспоминания. Жизнь сделалась адом: нескончаемые военные постои, реквизиции, вечный страх перед кулаком и плетью, доносы и обыски, деревня обезлюдела. Бальсен возненавидел политику и причастных к ней людей. Однажды вечером крестьянин отправился в город за доктором для заболевшей жены и столкнулся с казачьим разъездом.\nРассказ написан и впервые опубликован в 1907 году в газете «Товарищ». Это первый рассказ, который писатель подписал псевдонимом «А.С. Грин». В 1915 году в измененной редакции под заглавием «Прусский разъезд» рассказ был опубликован в журнале «ХХ-ый век».\n|../TableData/BooksEpub/Случай_1.epub
Как закалялась сталь|1934|«Как закалялась сталь» с удивительной точностью передает дух своей эпохи и суть исторического момента в период революции, гражданской войны и развернувшегося социалистического строительства. Герой романа - Павел Корчагин - один из ярчайших представителей своего поколения. Он составляет одно целое с самой эпохой - герой и эпоха создают друг друга. Один из важнейших мотивов повествования - борьба со смертью. Корчагин мог погибнуть неоднократно, но его воля к жизни побеждает: человеческий дух бросает вызов самой смерти, так как вера в беспредельность человеческих возможностей заложена в основе самой идеи коммунизма, верность которой сохраняет герой.Роман создавался в 1930-1934 годы. В 1934 году роман был опубликован в журнале «Молодая гвардия».\n|../TableData/BooksEpub/Как_закалялась_сталь_1.epub
Кавказец|1839|В коротком очерке «Кавказец» Михаил Лермонтов на основе личных наблюдений рассказывает о том, «что такое именно кавказец и какие бывают кавказцы». По существу свои заметки он посвящает отнюдь не коренному представителю народов Кавказа, а «кавказцу настоящему» - русскому офицеру, которого можно встретить именно «на Линии». «Настоящий кавказец человек удивительный, достойный всякого уважения и участия. До 18 лет он воспитывался в кадетском корпусе и вышел оттуда отличным офицером; он потихоньку в классах читал «Кавказского пленника» и воспламенился страстью к Кавказу», - пишет Лермонтов.\nОчерк написан в 1841 году. Впервые опубликован в 1928 году в альманахе «Минувшие дни».\n|../TableData/BooksEpub/Кавказец_1.epub
Роза и крест|1912|Драма «Роза и крест» выросла из первоначального плана сценария балета и из набросков оперного либретто. Это совершенно новая веха творческого пути поэта-драматурга. Идейно-философская основа произведения - представление Блока о многогранности жизни, мысль о слиянии далеких, разноречивых и противоположных ее начал. С этим связан и основной мотив пьесы - двуединство Радости-Страдания. Мотив двуединства отражен и в названии произведения, где «роза» символизирует наслаждение и радость жизни, а «крест» - страдание, выпавшее на долю человека или добровольно принимаемое им. Главные герои драмы - Бертран и Изора - живут в многокрасочном и широком мире, где постоянно противоборствуют Зло и Добро, Гнет и Справедливость, Богатство и Бедность.\n|../TableData/BooksEpub/Роза_и_крест_1.epub
Мат в три хода|1908|Рассказ «Мат в три хода» написан от первого лица в жанре воспоминаний героя - доктора психиатрии. На прием к нему, тогда еще начинающему специалисту, приходит нервный, возбужденный и испуганный мужчина. «Лейпциг. Международный турнир. Мат в три хода», - это кодовая фраза, которую пациент просит доктора сказать, когда потребуется переключить ход его мыслей.\nРассказ написан и впервые опубликован в 1908 году в журнале «Бодрое слово».\n|../TableData/BooksEpub/Мат_в_три_хода_1.epub
Ванька|1886|Главный герой рассказа - девятилетний мальчик Ванька Жуков, который уже три месяца находится в обучении у сапожника в городе. Он - сирота, а единственным родным ему человеком является дедушка, который остался в деревне. Действие рассказа происходит в ночь перед Рождеством: мальчик дождался, когда все лягут спать, взял из хозяйского шкафа пузырек с чернилами, перо и стал писать письмо дедушке. Он рассказывает о своем горьком житие у сапожника, жалуется на хозяев, на их издевательство над ним. Ванька просит забрать его обратно в деревню. В развязке рассказа мальчик дописал письмо, положил в конверт и написал адрес: «На деревню дедушке» Константину Макарычу.Рассказ написан и впервые опубликован в 1886 году в «Петербургской газете».\n|../TableData/BooksEpub/Ванька_1.epub
Рай|1909|В рассказе «Рай» некий банкир составляет странное завещание, по которому все его состояние и имущество должно перейти в полное распоряжение неизвестному «местному жителю, человеку, лишенному рук и ног от природы или... самому молодому из всех, не имеющих означенных членов». На следующий день за обеденным столом он собирает самых близких и доверенных ему людей - бухгалтера, капитана, журналиста и женщину неизвестного звания. Александр Грин не раскрывает ни имен персонажей, ни того, кем они приходятся друг другу.\nРассказ написан и впервые опубликован в 1909 году в «Новом журнале для всех».\n|../TableData/BooksEpub/Рай_1.epub
Черная курица, или Подземные жители|1829|«Черная курица», которую сам автор называл «волшебной повестью», стала одним из первых в России авторских произведений литературы для детей. Приемы введения фантастического, сочетание в произведении вымышленного и реального, обыгрывание мотива сна, исторический принцип в основе повести - все эти находки Погорельского позже будут использованы и другими русскими писателями. Сказка повествует об одиноком мальчике, который жил в пансионе. Добрый и чувствительный, однажды он спас от ножа кухарки маленькую черную курицу, отдав за нее последнюю монетку. Черная курица оказалась министром волшебного королевства. Ночью она провела мальчика в подземную страну, где король подарил ему секретное зернышко. Благодаря ему мальчик мог без труда выучить школьные уроки. Герой привык, что знания ему давались легко, и стал заносчивым и самоуверенным. Он раскрыл секрет зернышка, и волшебная страна оказалась в опасности.\nПовесть написана в 1825-1826 годах; впервые опубликована в 1829 году.\n|../TableData/BooksEpub/Черная_курица_или_Подземные_жители_1.epub
На Кавказе|1924|Кавказ - загадочный край, полный романтики. Для Сергея Есенина это «русский наш Парнас», повлиявший на судьбы русских поэтов - Пушкина, Лермонтова, Грибоедова. Лирический герой Есенина отождествляет себя с «ушедшими и великими»: он бежит на Кавказ от «тех же зол и бед», чтобы, вернувшись в столицу, «прекраснейшей поэмой забыть ненужную тоску».Стихотворение написано и впервые опубликовано в 1924 году в газете «Заря Востока».\n|../TableData/BooksEpub/На_Кавказе_1.epub
Воскресение|1909|«Воскресение» - последний роман Льва Николаевича Толстого. Для него этот роман был своеобразным итогом раздумий над современной действительностью, художественным выражением того нового миросозерцания, к которому он пришел в результате окончательного разрыва со своим классом и перехода на позиции защитника крестьянских интересов. Противостояние угнетенных и угнетателей в его частных и общих проявлениях оказывается в центре сюжета романа. Внешне действие строится преимущественно на взаимоотношениях главных героев - князя Дмитрия Нехлюдова и девушки из дома терпимости Катюши Масловой. Однако содержание романа значительно шире и охватывает множество сторон русской жизни конца XIX века.\n|../TableData/BooksEpub/Воскресение_1.epub
Аленький цветочек|1858|Сказка о заколдованном юноше, обращенном в чудище, и о девушке, которая силой любви возвращает ему человеческий облик. История пересказана автором народным языком в стилистике лиричного напевного сказа.\nФактически «Аленький цветочек» представляет собой переложение фольклорного сюжета, впервые отраженного древнеримским писателем Апулеем в сказке об Амуре и Психее, включенной в роман «Метаморфозы». Известно, что спустя годы после написания «Аленького цветочка» Аксаков прочитал сказку «Красавица и Зверь» из сборника французской писательницы и педагога Жанны Мари Лепренс де Бомон (1711-1780) и был весьма удивлен сильному сходству сюжетов.\nВпервые сказка напечатана писателем в 1858 году как приложение к автобиографии «Детские годы Багрова-внука».\n|../TableData/BooksEpub/Аленький_цветочек_1.epub
