isbn|title|genre|author|path|pages|description|publisher|annotation|writing_year|publishing_year|cover_path
978-5-4472-4258-9|Любимый|['Рассказ']|Грин Александр|../TableData/BooksEpub/Любимый_1.epub|10|Главного героя рассказа «Любимый» посещает давний приятель Яков, завсегдатай увеселительных мест, театров и кафе. Он сообщает о своей предстоящей женитьбе на чудесной девушке, которую встретил всего неделю назад. В тот же день герой знакомится с избранницей своего приятеля в театре.\nРассказ написан и впервые опубликован в 1907 году в газете «Биржевые ведомости».\n|ДА!Медиа|«Любимый» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1907 году в газете «Биржевые ведомости».\nГлавного героя рассказа «Любимый» посещает давний приятель Яков, завсегдатай увеселительных мест, театров и кафе. Он сообщает о своей предстоящей женитьбе на чудесной девушке, которую встретил всего неделю назад. В тот же день герой знакомится с избранницей своего приятеля в театре.\n|1907|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3754-7|Кавказский пленник|['Повесть']|Толстой Лев|../TableData/BooksEpub/Кавказский_пленник_3.epub|34|Рассказ отчасти основан на реальном событии, произошедшим со Львом Толстым во время его службы на Кавказе в 50-е годы XIX века. Действие происходит во время Кавказской войны 1829-1864 годов. Русский офицер Жилин попадает в плен к горцам-мусульманам, которые намерены получить за пленного выкуп. Бежать офицеру помогает девочка Дина, с которой он сблизился во время плена, - дочь «хозяина» русских пленных Абдул-Мурата. Рассказ построен на сопоставлении двух героев - Жилина и его сослуживца Костылина, также попавшего в плен. Живое описание характера человека, который не теряет собственного достоинства, умеет достойно переносить трудности и бороться за свободу, - главное достоинство произведения.\nРассказ написан и впервые опубликован в 1872 году в журнале «Заря».\n|ДА!Медиа|«Кавказский пленник» - рассказ, повесть русского писателя, публициста, просветителя и религиозного мыслителя Льва Николаевича Толстого (1828-1910). Написан и впервые опубликован в 1872 году в журнале «Заря».\nРассказ отчасти основан на реальном событии, произошедшим с Толстым во время его службы на Кавказе в 50-е годы. Действие происходит во время Кавказской войны 1829-1864 годов. Русский офицер Жилин попадает в плен к горцам-мусульманам, которые намерены получить за пленного выкуп. Бежать офицеру помогает девочка Дина, с которой он сблизился во время плена - дочь «хозяина» русских пленных Абдул-Мурата. Рассказ построен на сопоставлении двух героев - Жилина и его сослуживца Костылина, также попавшего в плен. Живое описание характера человека, который не теряет собственного достоинства, умеет достойно переносить трудности и бороться за свободу - главное достоинство произведения.\n|1872|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4299-2|Слон и Моська|['Рассказ']|Грин Александр|../TableData/BooksEpub/Слон_и_Моська_1.epub|61|В русскую литературу Александр Грин вступил как писатель-реалист. Два его первых рассказа - вторым был «Слон и Моська. Из летописей ***ского батальона» - задуманы как политические агитки, обличающие армейскую муштру и клеймящие зверскую расправу царизма над крестьянами после подавления первой русской революции. Тираж брошюры «Слон и Моська» был арестован петербургским градоначальником, поскольку содержание рассказа «заключало в себе возбуждение к нарушению воинскими чинами обязанностей военной службы». Несмотря на подкупающую искренность и горячую веру автора в то, что народ «всего добьется», сколько-нибудь существенным моментом творческой биографии Грина, этот рассказ не стал.\nНаписан и впервые опубликован отдельной брошюрой в 1906 году за подписью «А.С.Г.».\n|ДА!Медиа|«Слон и Моська» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован отдельной брошюрой в 1906 году за подписью «А.С.Г.».\nВ русскую литературу Александр Гриневский вступил как писатель-реалист. Два его первых рассказа - вторым был «Слон и Моська. Из летописей ***ского батальона» - задуманы как политические агитки, обличающие армейскую муштру и клеймящие зверскую расправу царизма над крестьянами после подавления первой русской революции. Тираж брошюры «Слон и Моська» был арестован петербургским градоначальником, поскольку содержание рассказа «заключало в себе возбуждение к нарушению воинскими чинами обязанностей военной службы». Несмотря на подкупающую искренность и горячую веру автора в то, что народ «всего добьется», сколько-нибудь существенным моментом творческой биографии Грина, этот рассказ не стал.\n|1906|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4211-4|Эда|['Поэма']|Боратынский Евгений|../TableData/BooksEpub/Эда_1.epub|28|Исторический фон произведения - Финляндия 1807-1808 годов, накануне ее окончательного отторжения у Швеции и присоединения к Российской империи. Вся поэма проникнута высокой оценкой коренных обитателей Финляндии, отчаянно боровшихся в то время с русской армией. Апология финнов и финской культуры коренилась в отрицательном отношении автора и либеральных дворянских кругов к русско-шведской войне 1809 года. Сюжетом Боратынский избирает тип сентиментальной повести с противопоставлением сельской простоты и невинности, которую олицетворяет финская девушка Эда, имперской городской культуре, носителем которой выступает русский офицер-гусар - светский повеса, «хитрец» и «лукавец» Владимир.\n|ДА!Медиа|«Эда» - поэма русского поэта Евгения Абрамовича Баратынского (1800-1844). Написана в 1824 году. Впервые полный текст поэмы опубликован в 1826 году в книге «Эда, финляндская повесть, и Пиры, описательная поэма».\nИсторический фон произведения - Финляндия 1807-1808 годов, накануне ее окончательного отторжения у Швеции и присоединения к Российской империи. Вся поэма с ее логическим завершением в эпилоге проникнута высокой оценкой коренных обитателей Финляндии, отчаянно боровшихся в то время с русской армией. Апология финнов и финской культуры коренилась в отрицательном отношении автора и либеральных дворянских кругов к русско-шведской войне 1809 года. Сюжетом Баратынский избирает тип сентиментальной повести с противопоставлением сельской простоты и невинности, которую олицетворяет финская девушка Эда, имперской городской культуре, носителем которой выступает русский офицер-гусар - светский повеса, «хитрец» и «лукавец» Владимир.\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3800-1|Человек в футляре|['Рассказ']|Чехов Антон|../TableData/BooksEpub/Человек_в_футляре_1.epub|21|Историю об одиноком по натуре человеке, который старался спрятаться от жизни в свою скорлупу, рассказывает на охотничьем ночлеге учитель гимназии Буркин своему товарищу, ветеринарному врачу Ивану Чимша-Гималайскому. Это рассказ об учителе греческого языка Беликове, который обожал футляры и сам даже в самую теплую погоду выходил в пальто, в галошах и с зонтиком. У этого человека было непреодолимое желание спрятать себя от реальности любыми средствами. Коллеги как-то раз решили женить Беликова на сестре нового учителя истории и географии Коваленко - Вареньке. Но закончилось все трагически: Коваленко спустил Беликова с лестницы, а Варенька обсмеяла. «Человек в футляре» ушел домой, лег и больше не вставал, а через месяц умер.\n|ДА!Медиа|«Человек в футляре» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые напечатан в 1898 году в журнале «Русская мысль». Это первая часть цикла «Маленькая трилогия», в которую также входят новеллы «Крыжовник» и «О любви».\nИсторию об одиноком по натуре человеке, который старался спрятаться от жизни в свою скорлупу, рассказывает на охотничьем ночлеге-постое учитель гимназии Буркин своему товарищу, ветеринарному врачу Ивану Чимша-Гималайскому. Это история об учителе греческого языка Беликова, который обожал футляры и сам даже в самую теплую погоду выходил в пальто, в галошах и с зонтиком. У этого человека было непреодолимое спрятать себя от реальности любыми средствами. Коллеги как-то раз решили женить Беликова на сестре нового учителя истории и географии - Вареньке. Но закончилось все трагически: Коваленко спустил Беликова с лестницы, а Варенька обсмеяла. «Человек в футляре» ушел домой, лег и больше не вставал, а через месяц умер.\n|1898|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3656-4|Братья Карамазовы|['Роман']|Достоевский Федор|../TableData/BooksEpub/Братья_Карамазовы_1.epub|1404|«Братья Карамазовы» - последний роман Федора Михайловича Достоевского (1821-1881). Он задуман Достоевским как первая часть эпопеи «История Великого грешника» и затрагивает глубокие философские проблемы веры, свободы и морали. В центре повествования три брата - Иван, Алексей и Дмитрий, которые заняты разрешением вопросов о первопричинах и конечных целях бытия. И каждый из них делает свой выбор, по-своему пытаясь ответить на вопрос о Боге и бессмертии души. «Никогда ни на какое сочинение мое не смотрел я серьезнее, чем на это», - писал Достоевский в одном из писем по поводу «Братьев Карамазовых». С выходом романа Достоевский получил общественное признание как духовный учитель, «властитель дум».\nСоздавался роман с апреля 1878 по ноябрь 1880 года.\n|ДА!Медиа|«Братья Карамазовы» - последний роман великого русского писателя, мыслителя, философа и публициста Федора Михайловича Достоевского (1821-1881). Создавался с апреля 1878 по ноябрь 1880 года. Публиковался частями в 1879-1880 годы в журнале «Русский вестник».\n«Братья Карамазовы» задуман Достоевским как первая часть эпопеи «История Великого грешника» и затрагивает глубокие философские проблемы веры, свободы и морали. В центре повествования три брата - Иван, Алексей и Дмитрий, которые заняты разрешением вопросов о первопричинах и конечных целях бытия. И каждый из них делает свой выбор, по-своему пытаясь ответить на вопрос о Боге и бессмертии души. «Никогда ни на какое сочинение мое не смотрел я серьезнее, чем на это», - писал Достоевский в одном из писем по поводу «Братьев Карамазовых». С выходом романа в свет Достоевский получил общественное признание как духовный учитель, «властитель дум». К нему обращаются совершенно незнакомые люди с исповедальными письмами в надежде разрешить мучительные проблемы духовных исканий.\n|1880|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4307-4|Судьба, взятая за рога|['Рассказ']|Грин Александр|../TableData/BooksEpub/Судьба_взятая_за_рога_1.epub|10|Исследователь Рен - герой рассказа «Судьба, взятая за рога» - потерял зрение в результате несчастного случая, происшедшего с ним в одной из экспедиций. Жене, которая должна в ближайшее время приехать к герою, он о потери зрения не написал. Рен переживает, что слепой он будет любимой женщине в тягость.\nРассказ написан и впервые опубликован в 1914 году в журнале «Отечество». Для публикации в издательстве «Мысль» в 1928 году писатель значительно переработал рассказ.\n|ДА!Медиа|«Судьба, взятая за рога» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1914 году в журнале «Отечество». Для публикации в издательстве «Мысль» в 1928 году писатель значительно переработал рассказ.\nИсследователь Рен - герой рассказа «Судьба, взятая за рога» - потерял зрение в результате несчастного случая, происшедшего с ним в одной из экспедиций. Жене, которая должна в ближайшее время приехать к герою, он о потери зрения не написал. Рен переживает, что слепой он будет любимой женщине в тягость.\n|1914|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4274-9|Окно в лесу|['Рассказ']|Грин Александр|../TableData/BooksEpub/Окно_в_лесу_1.epub|12|«Окно в лесу» - история об охотнике, заблудившемся на незнакомой зловещей равнине. Неизвестность местонахождения путала его мысли, голод, холод и близость ночи пугали. Он двигался в слепой надежде выбраться к знакомым местам, успокоиться и сориентироваться. С наступлением ночи охотник добрался до леса, в чаще которого обнаружил дом.Рассказ написан и впервые опубликован в 1909 году в газете «Слово».\n|ДА!Медиа|«Окно в лесу» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1909 году в газете «Слово».\n«Окно в лесу» - история об охотнике, заблудившемся на незнакомой зловещей равнине. Неизвестность местонахождения путала его мысли, голод, холод и близость ночи пугали. Он двигался в слепой надежде выбраться к знакомым местам, успокоиться и сориентироваться. С наступлением ночи охотник добрался до леса, в чаще которого обнаружил дом.\n|1909|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4355-5|Пришествие|['Поэма']|Есенин Сергей|../TableData/BooksEpub/Пришествие_1.epub|7|Поэма «Пришествие» посвящена русскому писателю и поэту Андрею Белому (1880-1934), творчество которого оказало на формирование поэтического языка Сергея Есенина немалое влияние. Поэтические имена Белого и Есенина являются символами разных литературных эпох. Развитие художественного мира Белого осуществлялось под знаком идеализма «младосимволистов». Есенин же пришел в литературу после распада символизма как литературного течения. Художественный мир и язык его произведений свидетельствовали о связи с истоками национальной культуры и сокровенными тайнами народного духа. Белый едва ли догадывался о творческом влиянии, которое он оказывал на Есенина. Творческий диалог поэтов основывался на человеческой симпатии друг к другу, которая возникла в годы их общения в рамках идейного объединения «Скифы» в 1917-1918 годы. Отзывы Белого о поэзии Есенина достаточно сдержанные: известно, что поэт-символист считал H.A. Клюева более значительной и масштабной фигурой, чем Есенин.Поэма написана в 1917 году. Впервые опубликована в 1918 году в газете «Знамя труда».\n|ДА!Медиа|«Пришествие» - поэма русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написана в 1917 году. Впервые опубликована в 1918 году в газете «Знамя труда».\nПоэма «Пришествие» посвящена русскому писателю и поэту Андрею Белому (1880-1934), творчество которого оказало на формирование поэтического языка Есенина немалое влияние. Поэтические имена Андрея Белого и Сергея Есенина являются символами разных литературных эпох. Развитие художественного мира Белого осуществлялось под знаком идеализма «младосимволистов». Есенин же пришел в литературу после распада символизма как литературного течения. Художественный мир и язык его произведений свидетельствовали о связи с истоками национальной культуры и сокровенными тайнами народного духа. Белый едва ли догадывался о творческом влиянии, которое он оказывал на Есенина. Творческий диалог поэтов основывался на человеческой симпатии друг к другу, которая возникла в годы общения Белого и Есенина в рамках идейного объединения «Скифы» в 1917-1918 годы. Отзывы Белого о поэзии Есенина достаточно сдержанные: известно, что поэт-символист считал H.A. Клюева более значительной и масштабной фигурой, чем Есенин.\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4236-7|Дикая мельница|['Рассказ']|Грин Александр|../TableData/BooksEpub/Дикая_мельница_1.epub|6|Короткая зарисовка от первого лица об обессиленном страннике, блуждающем в поисках приюта по местности мало знакомой, темной и тяжелой. Прибежище путник находит на мельнице, где обитает старик мрачной и неприветливой внешности. Устроившись на ночлег, герой обнаруживает себя на рассвете связанным и беспомощным. Луч редкого в тех местах солнца спасает странника от страшной смерти.Рассказ написан и впервые опубликован в 1915 году в журнале «XX-ый век».\n|ДА!Медиа|«Дикая мельница» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1915 году в журнале «XX-ый век».\nКороткая зарисовка от первого лица об обессиленном страннике, блуждающем в поисках приюта по местности мало знакомой, темной и тяжелой. Прибежище путник находит на мельнице, где обитает старик мрачной и неприветливой внешности. Устроившись на ночлег, герой обнаруживает себя на рассвете связанным и беспомощным. Луч редкого в тех местах солнца спасает странника от страшной смерти.\n|1915|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4239-8|О любви, поэзии и государственной службе|['Пьеса']|Блок Александр|../TableData/BooksEpub/О_любви_поэзии_и_государственной_службе_1.epub|27|«Диалог», как обозначал это свое произведение Блок, был выделен автором из черновых рукописей пьесы «Король на площади» в 1906 году. Предполагается, что отделение текста диалога, разворачивающегося между Поэтом и Шутом, связано с намерением Блока несколько ослабить полемику с политическими идеалами Зодчего - одного из главных действующих лиц пьесы. Сатира на идею «двора» могла бы подспудно привести к обострению драматургической коллизии Зодчий - Поэт, что явно не входило в общий замысел Блока. Слова «веселая наука» в шестой реплике Шута восходят к заглавию книги Ф. Ницше «Веселая наука». Эта формула, обозначавшая идею соединения мудрости с артистичностью, была необычайно популярна в кругах русской интеллигенции того времени.\n|ДА!Медиа|«О любви, поэзии и государственной службе» - драматическое произведение русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Текст написан в 1906 году. Впервые опубликован в апреле 1918 года в газете «Знамя труда».\n«Диалог», как обозначал это свое произведение Блок, был выделен автором из черновых рукописей пьесы «Король на площади» в 1906 году. Предполагается, что отделение текста диалога, разворачивающегося между Поэтом и Шутом, связано с намерением Блока несколько ослабить полемику с политическими идеалами Зодчего - одного из главных действующих лиц пьесы. Сатира на идею «двора» могла бы подспудно привести к обострению драматургической коллизии Зодчий - Поэт, что явно не входило в общий замысел Блока. Слова «веселая наука» в шестой реплике Шута восходят к заглавию книги Ф. Ницше «Веселая наука». Эта формула, обозначавшая идею соединения мудрости с артистичностью, была необычайно популярна в кругах русской интеллигенции того времени.\n|1906|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4223-7|Серебряный голубь|['Повесть']|Белый Андрей|../TableData/BooksEpub/Серебряный_голубь_1.epub|707|«Повесть», как обозначал «Серебряного голубя» сам автор, ознаменовала переход Андрея Белого от стилистического типа «симфоний» к новому типу прозаического повествования. От изображения обобщенно-символических психологических состояний, за которыми угадывается очень условная этическая концепция, Белый переходит к индивидуализированным, хотя и символически-многозначным характерам, за которыми легко угадывается конкретная историческая концепция. Не изолированные состояния интересуют теперь писателя, а люди - носители этих состояний. В центре повествования студент-горожанин Петр Дарьяльский, приехавший в деревню к своей невесте. Религиозная секта «голубей», в которую он попадает, символизирует в повести начало темное, восточное; помещица-бабушка немецкого происхождения и история семьи Тодрабе-Граабен олицетворяет начало светлое, западное, европейское.\n|ДА!Медиа|«Серебряный голубь» - повесть-роман русского писателя, поэта, критика Андрея Белого (1880-1934) (настоящее имя Борис Николаевич Бугаев), одно из самых ярких прозаических произведений школы «русского символизма». Публиковалась в журнале «Весы» с марта по декабрь 1909 года. В 1910 году повесть выпущена отдельным изданием с предисловием, в котором о ней говорится как о первой части трилогии «Восток или Запад».\n«Повесть», как обозначал «Серебряного голубя» сам автор, ознаменовала переход Андрея Белого от стилистического типа «симфоний» к новому типу прозаического повествования. От изображения обобщенно-символических психологических состояний, за которыми угадывается очень условная этическая концепция, Белый переходит к индивидуализированным, хотя и символически-многозначным характерам, за которыми легко угадывается конкретная историческая концепция. Не изолированные состояния интересуют теперь писателя, а люди - носители этих состояний. В центре повествования студент-горожанин Петр Дарьяльский, приехавший в деревню к своей невесте. Религиозная секта «голубей», в которую он попадает, символизирует в повести начало темное, восточное; помещица-бабушка немецкого происхождения и история семьи Тодрабе-Граабен олицетворяет начало светлое, западное, европейское.\n|1909|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4253-4|Соловьиный сад|['Поэма']|Блок Александр|../TableData/BooksEpub/Соловьиный_сад_1.epub|12|В этом произведении Блок поднимает важнейшие нравственные и философские проблемы долга и верности ему, любви и права на счастье, назначения искусства и своего места в нем. В «Соловьином саде» противопоставляются две линии: первая - будничная прозаическая жизнь, наполненная содержанием и действием; вторая - райская жизнь, без дела и цели. Перед лирическим героем, соответственно, открываются два пути: один - тяжелый и однообразный труд; второй - любовь прекрасной женщины, покой и очарование соловьиного сада. Герой оставляет жалкую хижину, верного помощника осла и идет в манящий соловьиный сад. Но очень скоро он понимает, что счастье было там, на каменистых тропинках. Герой покидает прекрасный сад и нежную возлюбленную, но поздно. Уже нет ни его хижины, ни его осла, а по тропинке, протоптанной его ногами, спускается другой человек.\n|ДА!Медиа|«Соловьиный сад» - поэма русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921). Написана в период с января 1914 по октябрь 1915 года. Впервые напечатана в декабре 1915 года в газете «Русское слово».\nВ этом произведении Блок поднимает важнейшие нравственные и философские проблемы долга и верности ему, любви и права на счастье, назначения искусства и своего места в нем. В «Соловьином саде» противопоставляются две линии: первая - будничная прозаическая жизнь, наполненная содержанием и действием; вторая - райская жизнь, без дела и цели. Перед лирическим героем, соответственно, открываются два пути: один - тяжелый и однообразный труд; второй - любовь прекрасной женщины, покой и очарование соловьиного сада. Герой оставляет жалкую хижину, верного помощника осла и идет в манящий соловьиный сад. Но очень скоро он понимает, что счастье было там, на каменистых тропинках. Герой покидает прекрасный сад и нежную возлюбленную, но поздно. Уже нет ни его хижины, ни его осла, а по тропинке, протоптанной его ногами, спускается другой человек.\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4243-5|Последние дни императорской власти|['Рассказ']|Блок Александр|../TableData/BooksEpub/Последние_дни_императорской_власти_1.epub|161|С мая 1917 года Александр Блок являлся литературным редактором стенографического отчета Чрезвычайной следственной комиссии по делам бывших царских министров. Он писал позже, что материал допросов «оказывается неожиданно ярким с точки зрения бытовой, психологической, литературной, даже - с точки зрения языка». По мнению Блока, издание этих материалов, «давая верную картину деятельности и падения старой власти, разрушило бы многие сложившиеся вокруг нее легенды». Стенографический отчет Чрезвычайной следственной комиссии был опубликован только в 1924-1927 годы, но свои соображения Блок попытался реализовать в книге «Последние дни императорской власти», над которой начал работать в августе 1917 года. Книга была закончена в марте 1918 года и впервые в несколько сокращенном виде была опубликована в журнале «Былое» в 1919 году под названием «Последние дни старого режима». Полностью книга «Последние дни императорской власти» была напечатана в Петрограде в 1921 году в издательстве «Алконост».\n|ДА!Медиа|«Последние дни императорской власти» - историко-публицистическое сочинение русского поэта, драматурга, публициста Александра Александровича Блока (1880-1921).\nС мая 1917 года Александр Блок являлся литературным редактором стенографического отчета Чрезвычайной следственной комиссии по делам бывших царских министров. Он писал позже, что материал допросов «оказывается неожиданно ярким с точки зрения бытовой, психологической, литературной, даже - с точки зрения языка». По мнению Блока, издание этих материалов, «давая верную картину деятельности и падения старой власти, разрушило бы многие сложившиеся вокруг нее легенды». Стенографический отчет Чрезвычайной следственной комиссии был опубликован только в 1924-1927 годы, но свои соображения Блок попытался реализовать в книге «Последние дни императорской власти», над которой начал работать в августе 1917 года. Книга была закончена в марте 1918 года и впервые в несколько сокращенном виде была опубликована в журнале «Былое» в 1919 году под названием «Последние дни старого режима». Полностью книга «Последние дни императорской власти» была напечатана в Петрограде в 1921 году в издательстве «Алконост».\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3801-8|Драма на охоте|['Повесть']|Чехов Антон|../TableData/BooksEpub/Драма_на_охоте_1.epub|454|Повесть имеет два подзаголовка: «Истинное происшествие» и «Из записок судебного следователя». В «Драме на охоте» молодой Чехов играет на внутренних противоречиях характеров персонажей. Так, внешне благородные Камышев и Ольга оказываются жестокими и коварными натурами. А в «неравном браке» Урбенина и Ольги страдающей стороной оказывается вовсе не юная невеста, а пожилой «жених», наивно пытавшийся найти свое счастье. Некоторые персонажи выведены довольно схематично. Так, например, Граф является средоточием всех возможных пороков, а уездный врач, к которому автор питает явную симпатию, напротив, выглядит неправдоподобно идеалистичным. Повесть написана в редком для Чехова жанре детективной истории. Известно, что сам автор, отрицательно относившийся к детективной литературе, никогда не возвращался к работе над этой повестью, не включал ее в собрание сочинений и практически не упоминал в переписке. «Драма на охоте» написана и впервые опубликована в 1884 году в газете «Новости дня» под псевдонимом А. Чехонте.\n|ДА!Медиа|«Драма на охоте» - повесть русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написана и впервые опубликована в 1884 году в газете «Новости дня» под псевдонимом А. Чехонте.\nПовесть имеет два подзаголовка: «Истинное происшествие» и «Из записок судебного следователя». Она написана в редком для Чехова жанре детективной истории. Известно, что сам автор, отрицательно относившийся к детективной литературе, никогда не возвращался к работе над этой повестью, не включал ее в собрание сочинений и практически не упоминал в переписке. В «Драме на охоте» молодой Чехов играет на внутренних противоречиях характеров персонажей. Так, внешне благородные Камышев и Ольга оказываются жестокими и коварными натурами. А в «неравном браке» Урбенина и Ольги страдающей стороной оказывается вовсе не юная невеста, а пожилой «жених», наивно пытавшийся найти свое счастье. Некоторые персонажи выведены довольно схематично. Так, например, Граф является средоточием всех возможных пороков, а уездный врач, к которому автор питает явную симпатию, напротив, выглядит неправдоподобно идеалистичным.\n|1884|2014|../TableData/BooksPhoto/default_book_cover.png
